id Payment;id Agreement;Payment number;Scheduled payment date;Actual payment date;Scheduled payment amount;Actual payment amount
7a67f1c4-1120-ee11-8380-f446b5162092;0667f1c4-1120-ee11-8380-f446b5162092;1;07.07.2022;09.07.2022;28000;28000
c9079755-130d-ee11-8f6e-000d3aba33a3;06c39e4f-130d-ee11-8f6e-000d3aba33a3;2;15.07.2022;20.07.2022;6225;6225
1127e1f5-3729-ee11-8381-ba5c733cbf1f;06dae6ef-3729-ee11-8381-ba5c733cbf1f;1;23.07.2022;23.07.2022;24000;24000
dc5e6ecc-8ca1-ed11-aad1-000d3aba1742;075e6ecc-8ca1-ed11-aad1-000d3aba1742;2;15.07.2022;10.07.2022;5700;5700
7f926c93-2bdd-ed11-a7c6-000d3aba3dad;078b6f8d-2bdd-ed11-a7c6-000d3aba3dad;2;15.07.2022;10.07.2022;19400;19400
4ba48bfa-0eda-ed11-a7c7-000d3ab7889f;07938ef4-0eda-ed11-a7c7-000d3ab7889f;2;15.07.2022;21.07.2022;5461;5461
a69b8b75-28e0-ed11-a7c6-000d3ab790d2;079b8b75-28e0-ed11-a7c6-000d3ab790d2;2;15.07.2022;19.07.2022;2475;2475
fbacea80-d709-ee11-8f6e-000d3aba1742;07acea80-d709-ee11-8f6e-000d3aba1742;2;15.07.2022;10.07.2022;4000;4000
73f4d00d-c619-ee11-8f6d-000d3ab790d2;07f4d00d-c619-ee11-8f6d-000d3ab790d2;1;03.07.2022;04.07.2022;10200;10200
953a7637-cc15-ee11-8f6d-000d3ad8e94d;083a7637-cc15-ee11-8f6d-000d3ad8e94d;2;01.07.2022;02.07.2022;9640;9640
a33a7637-cc15-ee11-8f6d-000d3ad8e94d;083a7637-cc15-ee11-8f6d-000d3ad8e94d;2;15.07.2022;18.07.2022;10640;10640
a3fe1d7a-fbd2-ed11-a7c7-000d3ab7996e;08fe1d7a-fbd2-ed11-a7c7-000d3ab7996e;2;15.07.2022;04.07.2022;4505;4505
cfccbe2f-ba27-ee11-8381-ba5c733cbf1f;099cad29-ba27-ee11-8381-ba5c733cbf1f;1;21.07.2022;21.07.2022;25200;25200
becaa668-4b21-ee11-8380-f446b5162092;09d4a462-4b21-ee11-8380-f446b5162092;1;13.07.2022;13.07.2022;3000;3000
0aaad6ba-8313-ee11-8f6d-000d3ab9cef5;09f7dbb4-8313-ee11-8f6d-000d3ab9cef5;2;15.07.2022;15.07.2022;6240;6240
7dc364fb-dd18-ee11-8f6d-0022489f3c43;0ac364fb-dd18-ee11-8f6d-0022489f3c43;1;02.07.2022;02.07.2022;19500;19500
eecea80b-7724-ee11-8381-ba5c733cbf1f;0ac364fb-dd18-ee11-8f6d-0022489f3c43;2;21.07.2022;21.07.2022;10686;-10686
11bc7b14-a716-ee11-8f6d-0022489f3c43;0ad7800e-a716-ee11-8f6d-0022489f3c43;1;03.07.2022;;18000;
d5e6ff44-b523-ee11-8382-cbacdae109f5;0ad7800e-a716-ee11-8f6d-0022489f3c43;2;16.07.2022;16.07.2022;1000;-1000
042a14b8-15e1-ed11-a7c7-000d3aba36b2;0ae81bb2-15e1-ed11-a7c7-000d3aba36b2;2;15.07.2022;;7486;
bd6b791e-0e27-ee11-8382-cbacdae109f5;0b4a7018-0e27-ee11-8382-cbacdae109f5;1;20.07.2022;20.07.2022;22400;22400
c79c067d-bb19-ee11-8f6d-000d3ab78055;0b500e77-bb19-ee11-8f6d-000d3ab78055;1;03.07.2022;03.07.2022;16000;16000
37f14836-58f2-ed11-8849-000d3ab7827c;0ba25030-58f2-ed11-8849-000d3ab7827c;2;15.07.2022;01.07.2022;7250;7250
81d937c7-8313-ee11-8f6d-000d3ab9cef5;0bd937c7-8313-ee11-8f6d-000d3ab9cef5;2;15.07.2022;15.07.2022;6240;6240
f21139bd-6f21-ee11-8381-cf5704729b95;0c246d6b-454a-ed11-bba2-000d3ab7d824;2;28.07.2022;18.07.2022;20570;-20570
868dce9d-860e-ee11-8f6d-000d3aba3dad;0c49d697-860e-ee11-8f6d-000d3aba3dad;2;15.07.2022;13.07.2022;20200;20200
d36e8522-31bf-ed11-83ff-000d3ab1f7e2;0c6e8522-31bf-ed11-83ff-000d3ab1f7e2;2;15.07.2022;;4590;
cdc36c91-5fb4-ed11-83ff-000d3ab1f7e2;0cc36c91-5fb4-ed11-83ff-000d3ab1f7e2;2;15.07.2022;18.07.2022;1393;1392
a6287bb5-a7ea-ed11-8849-000d3aba3dad;0d227eaf-a7ea-ed11-8849-000d3aba3dad;2;15.07.2022;14.07.2022;3500;3500
293766b0-c0f3-ed11-8849-000d3ab7d824;0d3666b0-c0f3-ed11-8849-000d3ab7d824;2;15.07.2022;12.07.2022;3900;3900
3423c5c7-ade5-ed11-a7c7-000d3aba36b2;0e1dc8c1-ade5-ed11-a7c7-000d3aba36b2;2;15.07.2022;15.07.2022;6225;6225
879e41c2-3b26-ee11-8381-ba5c733cbf1f;0e5433bc-3b26-ee11-8381-ba5c733cbf1f;1;20.07.2022;20.07.2022;6000;6000
759f272c-57f2-ed11-8849-000d3aba1d28;0e5c1b26-57f2-ed11-8849-000d3aba1d28;2;15.07.2022;07.07.2022;6675;6675
63e0da7d-89b3-ed11-83ff-000d3ab78055;0e9ee277-89b3-ed11-83ff-000d3ab78055;2;15.07.2022;17.07.2022;5625;5625
d6ddbee8-bcae-ed11-aad0-000d3aba3138;0eddbee8-bcae-ed11-aad0-000d3aba3138;2;15.07.2022;01.07.2022;3300;3300
dd9b9881-8387-ed11-81ad-000d3ab7d13d;0f53a07b-8387-ed11-81ad-000d3ab7d13d;2;15.07.2022;16.07.2022;3000;3000
8c66515a-6017-ee11-8f6d-000d3aba1742;0f66515a-6017-ee11-8f6d-000d3aba1742;2;15.07.2022;18.07.2022;3200;3200
83943562-1320-ee11-8380-f446b5162092;0f943562-1320-ee11-8380-f446b5162092;1;05.07.2022;06.07.2022;8623;8623
97df1c77-839d-ed11-aad1-000d3ab88280;0ff80771-839d-ed11-aad1-000d3ab88280;2;15.07.2022;07.07.2022;5000;5000
b5c1502f-cfe1-ed11-a7c7-000d3ab1f7e2;10015829-cfe1-ed11-a7c7-000d3ab1f7e2;2;15.07.2022;15.07.2022;5187;5187
677006f8-d0f4-ed11-8849-000d3aba3c86;106f06f8-d0f4-ed11-8849-000d3aba3c86;1;18.07.2022;17.05.2022;3000;3000
787006f8-d0f4-ed11-8849-000d3aba3c86;106f06f8-d0f4-ed11-8849-000d3aba3c86;2;17.07.2022;02.06.2022;53399;53399
ea74cfc3-98a1-ed11-aad1-000d3ab790d2;1074cfc3-98a1-ed11-aad1-000d3ab790d2;2;15.07.2022;01.07.2022;3000;3000
bbc29880-08f7-ed11-8849-000d3ab9cef5;10c29880-08f7-ed11-8849-000d3ab9cef5;2;15.07.2022;18.07.2022;8000;8000
7c66c676-72f5-ed11-8849-000d3aba1673;10f4c670-72f5-ed11-8849-000d3aba1673;2;15.07.2022;20.07.2022;7250;7250
e5b4eacf-91df-ed11-a7c6-000d3aba3c86;1169f2c9-91df-ed11-a7c6-000d3aba3c86;2;15.07.2022;14.07.2022;2102;2102
84907a8f-2127-ee11-8381-ba5c733cbf1f;118d7989-2127-ee11-8381-ba5c733cbf1f;1;20.07.2022;21.07.2022;9864;9864
d49b8aa3-19c4-ed11-83ff-000d3ab78055;119b8aa3-19c4-ed11-83ff-000d3ab78055;2;15.07.2022;13.07.2022;3030;3030
89b5bced-9e24-ee11-8382-cbacdae109f5;11b5bced-9e24-ee11-8382-cbacdae109f5;1;17.07.2022;17.07.2022;75600;75600
924cf821-8e20-ee11-8380-f446b5162092;124cf821-8e20-ee11-8380-f446b5162092;1;12.07.2022;;3000;
3d5baa6e-9c24-ee11-8382-cbacdae109f5;124cf821-8e20-ee11-8380-f446b5162092;2;21.07.2022;18.07.2022;54852;-54852
acdb9ca9-2a17-ee11-8f6d-000d3ab79002;12db9ca9-2a17-ee11-8f6d-000d3ab79002;2;15.07.2022;12.07.2022;9700;9700
f59bea9e-cbb9-ed11-83ff-000d3ab699fb;12dcef98-cbb9-ed11-83ff-000d3ab699fb;2;15.07.2022;01.07.2022;4875;4875
40919d23-9d98-ed11-aad0-000d3ad8e94d;12f55446-9c98-ed11-aad0-000d3ad8e94d;2;15.07.2022;10.07.2022;5220;5220
1498a558-8225-ee11-8381-ba5c733cbf1f;132f9c52-8225-ee11-8381-ba5c733cbf1f;1;18.07.2022;18.07.2022;36400;36400
876b7132-df26-ee11-8382-cbacdae109f5;136b7132-df26-ee11-8382-cbacdae109f5;1;20.07.2022;20.07.2022;28000;28000
8a96c746-c115-ee11-8f6d-000d3aba33a3;1396c746-c115-ee11-8f6d-000d3aba33a3;2;15.07.2022;;7055;
e9dc3816-2522-ee11-8382-cbacdae109f5;13ce8501-b6fb-ed11-8848-000d3ad8e94d;2;21.07.2022;21.07.2022;19500;-19500
bd55c3cc-b224-ee11-8382-cbacdae109f5;1427aacb-b124-ee11-8381-ba5c733cbf1f;1;17.07.2022;17.07.2022;1500;1500
e79fa2d1-b124-ee11-8381-ba5c733cbf1f;1427aacb-b124-ee11-8381-ba5c733cbf1f;2;31.07.2022;;20900;
487575f7-93ea-ed11-8849-000d3ab78055;146478f1-93ea-ed11-8849-000d3ab78055;2;15.07.2022;21.07.2022;2100;2100
8866d7dc-1120-ee11-8380-f446b5162092;1466d7dc-1120-ee11-8380-f446b5162092;1;07.07.2022;21.07.2022;3000;3000
a6f15f0f-fef3-ed11-8849-000d3ab1f7e2;14f15f0f-fef3-ed11-8849-000d3ab1f7e2;2;15.07.2022;;6675;
9866f6a7-4817-ee11-8f6d-000d3aba3963;14f15f0f-fef3-ed11-8849-000d3ab1f7e2;2;07.07.2022;07.07.2022;11381;-11381
a6f88b1d-3bf5-ec11-bb3d-000d3ab031bb;14f1bc3b-37f5-ec11-bb3d-000d3ab03efa;2;15.07.2022;06.07.2022;2490;2490
9cde61c0-1926-ee11-8381-ba5c733cbf1f;15132aba-1926-ee11-8381-ba5c733cbf1f;1;19.07.2022;19.07.2022;44900;44900
c22a2359-68bf-ed11-83ff-000d3ab1f7e2;152a2359-68bf-ed11-83ff-000d3ab1f7e2;2;15.07.2022;10.07.2022;6800;6800
d0e079b6-80e2-ed11-a7c7-000d3ab7d824;15e079b6-80e2-ed11-a7c7-000d3ab7d824;2;15.07.2022;12.07.2022;8200;8200
c4f15605-08cc-ed11-b597-000d3ab7d13d;15f15605-08cc-ed11-b597-000d3ab7d13d;2;15.07.2022;05.07.2022;3900;3900
66182980-8dd4-ed11-a7c7-000d3aba3963;16172980-8dd4-ed11-a7c7-000d3aba3963;2;15.07.2022;02.07.2022;5270;5270
7243e3f6-1c26-ee11-8382-cbacdae109f5;1622daf0-1c26-ee11-8382-cbacdae109f5;1;19.07.2022;19.07.2022;25200;25200
b9e220f6-ffcf-ed11-a7c6-000d3aba3138;171713f0-ffcf-ed11-a7c6-000d3aba3138;2;15.07.2022;06.07.2022;3000;3000
114102c4-d6f4-ed11-8849-000d3ab7996e;176b00be-d6f4-ed11-8849-000d3ab7996e;1;18.07.2022;;3000;
f4ef3157-2ebc-ed11-83ff-000d3ad8e94d;17ef3157-2ebc-ed11-83ff-000d3ad8e94d;2;15.07.2022;14.07.2022;7800;7800
9448d697-860e-ee11-8f6d-000d3aba3dad;1848d697-860e-ee11-8f6d-000d3aba3dad;2;15.07.2022;13.07.2022;10400;10400
33c73792-1422-ee11-8381-ba5c733cbf1f;18fc2fee-a4f5-ed11-8849-000d3ab88280;2;31.07.2022;31.07.2022;3000;-3000
8d2a4553-1120-ee11-8380-f446b5162092;192a4553-1120-ee11-8380-f446b5162092;1;06.07.2022;07.07.2022;6000;6000
55c73715-5825-ee11-8381-ba5c733cbf1f;197c200f-5825-ee11-8381-ba5c733cbf1f;1;18.07.2022;18.07.2022;66200;66200
c0bda79d-b819-ee11-8f6d-000d3addca62;19bda79d-b819-ee11-8f6d-000d3addca62;1;03.07.2022;03.07.2022;8000;8000
600fa58b-84c5-ed11-b597-000d3aba33a3;1accac85-84c5-ed11-b597-000d3aba33a3;2;15.07.2022;17.07.2022;1868;1868
2f170ff6-f6e1-ed11-a7c7-000d3addca62;1b160ff6-f6e1-ed11-a7c7-000d3addca62;2;15.07.2022;03.07.2022;5187;5187
d330b9c5-b506-ee11-8f6e-000d3aba1742;1b30b9c5-b506-ee11-8f6e-000d3aba1742;2;15.07.2022;05.07.2022;4800;4800
e4706898-17f3-ed11-8849-000d3aba1742;1b706898-17f3-ed11-8849-000d3aba1742;2;15.07.2022;07.07.2022;3000;3000
9c951075-4014-ee11-8f6d-000d3ab88280;1b951075-4014-ee11-8f6d-000d3ab88280;2;15.07.2022;11.07.2022;8600;8600
8ff1fdb8-1120-ee11-8380-f446b5162092;1bf1fdb8-1120-ee11-8380-f446b5162092;1;06.07.2022;07.07.2022;4000;4000
874b104a-3217-ee11-8f6d-000d3ad8e94d;1bfe1744-3217-ee11-8f6d-000d3ad8e94d;2;15.07.2022;15.07.2022;12400;12400
d913ac9f-db26-ee11-8382-cbacdae109f5;1c13ac9f-db26-ee11-8382-cbacdae109f5;1;20.07.2022;21.07.2022;3000;3000
d15adfb9-ea0d-ee11-8f6d-000d3addca62;1c5adfb9-ea0d-ee11-8f6d-000d3addca62;2;15.07.2022;12.07.2022;3000;3000
b865f1c4-1120-ee11-8380-f446b5162092;1c5ff7be-1120-ee11-8380-f446b5162092;1;06.07.2022;06.07.2022;19500;19500
98dbbf4c-c115-ee11-8f6d-000d3aba33a3;1cdbbf4c-c115-ee11-8f6d-000d3aba33a3;2;15.07.2022;;7055;
1b2e9b49-94a4-ed11-aad1-000d3ab78251;1d2d9b49-94a4-ed11-aad1-000d3ab78251;2;15.07.2022;17.07.2022;5416;5416
dd65b779-84c5-ed11-b597-000d3aba33a3;1d9cbc73-84c5-ed11-b597-000d3aba33a3;2;15.07.2022;17.07.2022;6270;6270
ba0e6fbc-3113-ee11-8f6d-000d3aba1d28;1e0d6fbc-3113-ee11-8f6d-000d3aba1d28;2;15.07.2022;13.07.2022;10300;10300
97310970-f31e-ee11-8380-f446b5162092;1e310970-f31e-ee11-8380-f446b5162092;1;10.07.2022;10.07.2022;6000;6000
f75d5105-f9fa-ed11-8849-000d3ab7827c;1e5d5105-f9fa-ed11-8849-000d3ab7827c;2;15.07.2022;11.07.2022;7110;7110
9e017c85-9e28-ee11-8381-ba5c733cbf1f;1ec6827f-9e28-ee11-8381-ba5c733cbf1f;1;22.07.2022;22.07.2022;28000;28000
e0caf528-8325-ee11-8381-ba5c733cbf1f;1f52fd22-8325-ee11-8381-ba5c733cbf1f;1;18.07.2022;20.07.2022;3000;3000
c65beef3-65f2-ed11-8849-000d3aba3c86;1f5beef3-65f2-ed11-8849-000d3aba3c86;2;15.07.2022;06.07.2022;6225;6225
b88bd2bb-bdf4-ed11-8849-000d3aba3dad;1f8bd2bb-bdf4-ed11-8849-000d3aba3dad;2;15.07.2022;05.07.2022;7250;7250
abcb1aea-ffcf-ed11-a7c6-000d3aba3138;1f9516e4-ffcf-ed11-a7c6-000d3aba3138;2;15.07.2022;06.07.2022;5818;5818
8baa84c4-4126-ee11-8382-cbacdae109f5;1faa84c4-4126-ee11-8382-cbacdae109f5;1;19.07.2022;20.07.2022;3000;3000
47feaa1b-ff26-ee11-8382-cbacdae109f5;1faa84c4-4126-ee11-8382-cbacdae109f5;2;20.07.2022;;67900;
abf62850-2ce1-ed11-a7c7-000d3ab88280;1ff62850-2ce1-ed11-a7c7-000d3ab88280;2;15.07.2022;18.07.2022;6675;6675
94033077-1120-ee11-8380-f446b5162092;20033077-1120-ee11-8380-f446b5162092;0;05.07.2022;07.07.2022;1000;1000
ddb1e117-6484-ed11-81ad-000d3ab7996e;206bc10b-6484-ed11-81ad-000d3ab7996e;2;15.07.2022;09.07.2022;7700;7700
30b73340-f072-ed11-81ab-000d3ab7d13d;206e3b3a-f072-ed11-81ab-000d3ab7d13d;2;03.07.2022;03.07.2022;987;987
a09b367c-1523-ee11-8381-ba5c733cbf1f;209b367c-1523-ee11-8381-ba5c733cbf1f;1;15.07.2022;15.07.2022;3000;3000
e87e9f22-b995-ed11-aad0-000d3ab9cef5;2127b455-b895-ed11-aad0-000d3ab9cef5;2;15.07.2022;15.07.2022;3640;3640
ae6246b6-8be6-ed11-a7c6-000d3ab9cef5;216246b6-8be6-ed11-a7c6-000d3ab9cef5;2;15.07.2022;03.07.2022;6600;6600
2e59bb6f-bec0-ed11-83ff-000d3ab7889f;220cc369-bec0-ed11-83ff-000d3ab7889f;2;15.07.2022;09.07.2022;3700;3700
70c4a02c-e4cf-ed11-b596-000d3aba3138;2255a126-e4cf-ed11-b596-000d3aba3138;2;15.07.2022;15.07.2022;1800;1800
7ef0e216-0226-ee11-8382-cbacdae109f5;2382b514-0234-ed11-9db1-000d3aba3dad;2;21.07.2022;18.07.2022;5933;-5933
24117ced-c185-ed11-81ad-000d3aba33a3;2386d67f-0c59-ed11-9562-000d3ab7889f;2;15.07.2022;18.07.2022;7800;7800
dad3a462-4b21-ee11-8380-f446b5162092;23d3a462-4b21-ee11-8380-f446b5162092;1;13.07.2022;13.07.2022;3000;3000
44a7450c-5425-ee11-8381-ba5c733cbf1f;23ff2c06-5425-ee11-8381-ba5c733cbf1f;1;18.07.2022;18.07.2022;25200;25200
42b10d40-3a6f-ed11-9561-000d3aba1d28;2469b757-396f-ed11-9561-000d3aba1d28;2;15.07.2022;07.07.2022;2830;2830
482ba8a1-f172-ed11-81ab-000d3aba1d28;24b4a89b-f172-ed11-81ab-000d3aba1d28;2;03.07.2022;03.07.2022;987;987
55e6f929-6e21-ee11-8381-cf5704729b95;25c27371-454a-ed11-bba2-000d3ab7d824;2;28.07.2022;28.07.2022;47930;-47930
b3cd2583-14f4-ed11-8849-000d3aba1742;25cd2583-14f4-ed11-8849-000d3aba1742;2;15.07.2022;02.07.2022;2625;2625
b65591e5-07cf-ed11-b597-000d3ab6804f;261d8ddf-07cf-ed11-b597-000d3ab6804f;2;15.07.2022;;5925;
b0ba4ab0-80e2-ed11-a7c7-000d3ab7d824;26ba4ab0-80e2-ed11-a7c7-000d3ab7d824;2;15.07.2022;12.07.2022;8200;8200
9ac601b3-1120-ee11-8380-f446b5162092;26c601b3-1120-ee11-8380-f446b5162092;1;05.07.2022;07.07.2022;4400;4400
e419d98c-e926-ee11-8381-ba5c733cbf1f;26cdde86-e926-ee11-8381-ba5c733cbf1f;1;20.07.2022;20.07.2022;45700;45700
100a4918-5425-ee11-8381-ba5c733cbf1f;26dd4912-5425-ee11-8381-ba5c733cbf1f;1;18.07.2022;18.07.2022;25200;25200
c94b7f97-b6de-ed11-a7c6-000d3ab7996e;27018791-b6de-ed11-a7c6-000d3ab7996e;2;15.07.2022;12.07.2022;7250;7250
7d699dfb-03c1-ed11-83ff-000d3aba3dad;2727a5f5-03c1-ed11-83ff-000d3aba3dad;2;15.07.2022;02.07.2022;6675;6675
9e6ddfe8-4526-ee11-8382-cbacdae109f5;276ddfe8-4526-ee11-8382-cbacdae109f5;1;20.07.2022;20.07.2022;28000;28000
f4954e54-db9c-ed11-aad1-000d3ab1f7e2;27954e54-db9c-ed11-aad1-000d3ab1f7e2;2;15.07.2022;;2556;
53e8d783-89b3-ed11-83ff-000d3ab78055;27e2da7d-89b3-ed11-83ff-000d3ab78055;2;15.07.2022;17.07.2022;5625;5625
ad0e45a6-5117-ee11-8f6d-000d3aba3dad;280e45a6-5117-ee11-8f6d-000d3aba3dad;2;15.07.2022;02.07.2022;52161;52161
e280bec7-1ef7-ed11-8849-000d3ab7d13d;2880bec7-1ef7-ed11-8849-000d3ab7d13d;2;15.07.2022;14.07.2022;9800;9800
f88b5536-db9c-ed11-aad1-000d3ab1f7e2;288b5536-db9c-ed11-aad1-000d3ab1f7e2;2;15.07.2022;;4644;
fa90fe3d-d1c4-ed11-83ff-000d3ab1f7e2;2890fe3d-d1c4-ed11-83ff-000d3ab1f7e2;2;15.07.2022;10.07.2022;4100;4100
b19cae98-74f5-ed11-8849-000d3ab9cef5;289cae98-74f5-ed11-8849-000d3ab9cef5;2;15.07.2022;04.07.2022;2625;2625
f3baf67e-ac02-ee11-8f6e-000d3addca62;28baf67e-ac02-ee11-8f6e-000d3addca62;2;15.07.2022;06.07.2022;9000;9000
9755efbe-9eba-ed11-83ff-000d3ab7996e;28bcc9b8-9eba-ed11-83ff-000d3ab7996e;2;15.07.2022;15.07.2022;6270;6270
96c6cd85-5d16-ee11-8f6d-000d3addca62;28c6cd85-5d16-ee11-8f6d-000d3addca62;1;01.07.2022;03.07.2022;37400;37400
b6dec5f5-6903-ee11-8f6e-000d3ad8e94d;28eecaef-6903-ee11-8f6e-000d3ad8e94d;2;15.07.2022;01.07.2022;7289;7289
1ef45df2-e0a7-ed11-aad1-000d3ab7827c;294663ec-e0a7-ed11-aad1-000d3ab7827c;2;15.07.2022;15.07.2022;6500;6500
7996c405-0ada-ed11-a7c7-000d3ab7d13d;298ba8ff-09da-ed11-a7c7-000d3ab7d13d;2;15.07.2022;10.07.2022;4900;4900
31a244e0-88a0-ed11-aad1-000d3ab1f7e2;29a144e0-88a0-ed11-aad1-000d3ab1f7e2;2;15.07.2022;14.07.2022;6900;6900
a1106af9-970e-ee11-8f6d-000d3aba1673;2a106af9-970e-ee11-8f6d-000d3aba1673;2;15.07.2022;04.07.2022;6225;6225
ace5c77c-fdc6-ed11-b597-000d3ab7d13d;2a3acd76-fdc6-ed11-b597-000d3ab7d13d;2;15.07.2022;07.07.2022;6000;6000
c0f04182-9321-ee11-8382-cbacdae109f5;2a455ceb-a511-ee11-8f6d-000d3ab78251;1;13.07.2022;13.07.2022;60700;
3a465ceb-a511-ee11-8f6d-000d3ab78251;2a455ceb-a511-ee11-8f6d-000d3ab78251;2;01.07.2022;;60700;
e99a1425-9cf5-ed11-8849-000d3ab7996e;2a9a1425-9cf5-ed11-8849-000d3ab7996e;2;15.07.2022;21.07.2022;2625;2625
ee1f6597-5fb4-ed11-83ff-000d3ab1f7e2;2b1f6597-5fb4-ed11-83ff-000d3ab1f7e2;2;15.07.2022;18.07.2022;1393;1392
c0c2502f-cfe1-ed11-a7c7-000d3ab1f7e2;2bc2502f-cfe1-ed11-a7c7-000d3ab1f7e2;2;15.07.2022;15.07.2022;5187;5187
a7ef38e8-0694-ed11-aad0-000d3ab9cef5;2bf53de2-0694-ed11-aad0-000d3ab9cef5;2;15.07.2022;14.07.2022;6300;6300
bd59bbfa-6a17-ee11-8f6d-000d3ab88280;2c09c3f4-6a17-ee11-8f6d-000d3ab88280;2;15.07.2022;10.07.2022;6000;6000
bc0e3704-dc0d-ee11-8f6d-0022489f3c43;2c0e3704-dc0d-ee11-8f6d-0022489f3c43;2;15.07.2022;;6675;
54b8c823-bfe9-ed11-8849-000d3aba36b2;2c14ce1d-bfe9-ed11-8849-000d3aba36b2;2;15.07.2022;20.07.2022;3900;3900
da8e8148-a819-ee11-8f6c-000d3aba1d28;2c58af08-a819-ee11-8f6c-000d3aba1d28;0;03.07.2022;03.07.2022;1000;1000
a858af08-a819-ee11-8f6c-000d3aba1d28;2c58af08-a819-ee11-8f6c-000d3aba1d28;1;18.07.2022;;8700;
a734564b-4325-ee11-8381-ba5c733cbf1f;2c603db4-8824-ee11-8381-ba5c733cbf1f;1;17.07.2022;18.07.2022;70900;70900
d6603db4-8824-ee11-8381-ba5c733cbf1f;2c603db4-8824-ee11-8381-ba5c733cbf1f;2;17.07.2022;;70900;
f29a367c-1523-ee11-8381-ba5c733cbf1f;2cbf3e76-1523-ee11-8381-ba5c733cbf1f;1;15.07.2022;15.07.2022;3000;3000
00f4c2fb-6903-ee11-8f6e-000d3ad8e94d;2cdfc5f5-6903-ee11-8f6e-000d3ad8e94d;2;15.07.2022;01.07.2022;7289;7289
19906e2c-6df2-ed11-8849-000d3ab6d792;2cff7526-6df2-ed11-8849-000d3ab6d792;2;15.07.2022;14.07.2022;9800;9800
